ASM,オリジナル,Allatori,Duplication,Irreducibility,Marge,ProGuard,Opaque,,,,,,,,,,
iload gotoInsn aload invokespecial returnInsn,,3,,,,,,7422.29,,,,,,,,,
iload gotoInsn aload invokevirtual areturn,,1,,,,,,7745.98,,,,,,,,,
iload gotoInsn aload ldc invokestatic,,1,,,,,,41443.7,,,,,,,,,
iload gotoInsn aload putstatic returnInsn,,2,,,,,,35743.9,,,,,,,,,
iload gotoInsn bipush iinc istore,,1,,,,,,400928,,,,,,,,,
iload gotoInsn getfield getfield aload,,1,,,,,,328682,,,,,,,,,
iload gotoInsn getfield getstatic iload,,1,,,,,,789045,,,,,,,,,
iload gotoInsn getfield iconst0 iaload,,1,,,,,,221842,,,,,,,,,
iload gotoInsn gotoInsn aload dup,,2,,,,,,72653.3,,,,,,,,,
iload gotoInsn gotoInsn aload getfield,,1,,,,,,11794.9,,,,,,,,,
iload gotoInsn gotoInsn aload iload,,4,,,,,,44097.8,,,,,,,,,
iload gotoInsn gotoInsn iconst3 istore,,1,,,,,,69473.4,,,,,,,,,
iload gotoInsn gotoInsn iinc iload,,1,,,,,,95559.9,,,,,,,,,
iload gotoInsn gotoInsn iload istore,,1,,,,,,39295.7,,,,,,,,,
iload gotoInsn iconst0 dup istore,,5,,,,,,23171.4,,,,,,,,,
iload gotoInsn iconst0 i2l lload,,,,,1,,,12409.1,,,,,,,,,
iload gotoInsn iconst0 istore aload,,1,,,,,,9829.17,,,,,,,,,
iload gotoInsn iconst0 istore iconst0,,1,,,,,,14304.1,,,,,,,,,
iload gotoInsn iconst1 istore iload,,1,,,,,,38756.7,,,,,,,,,
iload gotoInsn iconst3 iconst0 ifne,,1,,,,,,495305,,,,,,,,,
iload gotoInsn iinc gotoInsn iinc,,1,,,,,,31333.1,,,,,,,,,
iload gotoInsn iinc iload gotoInsn,,11,,,,,,13225.6,,,,,,,,,
iload gotoInsn iinc iload ifeq,,1,,,,,,25928,,,,,,,,,
iload gotoInsn iload aload getfield,,2,,,,,,11741.8,,,,,,,,,
iload gotoInsn iload bipush aload,,1,,,,,,113548,,,,,,,,,
iload gotoInsn iload bipush ifIcmpne,,1,,,,,,7151.85,,,,,,,,,
iload gotoInsn iload i2l bipush,,,,,2,,,70249.1,,,,,,,,,
iload gotoInsn iload iconst1 iand,,1,,,,,,31162.4,,,,,,,,,
iload gotoInsn iload iconst1 ifIcmpne,,2,,,,,,4050.18,,,,,,,,,
iload gotoInsn iload iconst4 iadd,,1,,,,,,33942.1,,,,,,,,,
iload gotoInsn iload iconstM1 ifIcmpeq,,1,,,,,,11233.5,,,,,,,,,
iload gotoInsn iload ifeq aload,,1,,,,,,11423.3,,,,,,,,,
iload gotoInsn iload ifeq iload,,2,,,,,,29116.9,,,,,,,,,
iload gotoInsn iload ifle aload,,1,,,,,,31128,,,,,,,,,
iload gotoInsn iload ifle iconst0,,1,,,,,,31695.8,,,,,,,,,
iload gotoInsn iload ifne aconstNull,,1,,,,,,39355.1,,,,,,,,,
iload gotoInsn iload iload iconst1,,1,,,,,,104984,,,,,,,,,
iload gotoInsn iload iload ifIcmpge,,1,,,,,,10060.9,,,,,,,,,
iload gotoInsn iload iload iload,,1,,,,,,45646.6,,,,,,,,,
iload gotoInsn iload ldc iand,,1,,,,,,34753.4,,,,,,,,,
iload gotoInsn iload ldc ifIcmpne,,2,,,,,,16824.8,,,,,,,,,
iload gotoInsn iload lookupswitch aload,,1,,,,,,42413.7,,,,,,,,,
iload gotoInsn iload newarray dup,,1,,,,,,29839.7,,,,,,,,,
iload gotoInsn iload sipush ifIcmpge,,2,,,,,,20916.5,,,,,,,,,
iload gotoInsn iload sipush ifIcmple,,1,,,,,,10968.9,,,,,,,,,
iload gotoInsn iload sipush ifIcmplt,,2,,,,,,11577.5,,,,,,,,,
iload gotoInsn iload sipush ifIcmpne,,1,,,,,,16518.7,,,,,,,,,
iload gotoInsn ldc aload ldc,,1,,,,,,174169,,,,,,,,,
iload gotoInsn ldc dup istore,,,1,,,,,83384.6,,,,,,,,,
iload gotoInsn ldc i2l lload,,,,,1,,,171137,,,,,,,,,
iload gotoInsn ldc iconst0 ifne,,1,,,,,,27263.6,,,,,,,,,
iload gotoInsn ldc invokestatic aload,,25,,,,,,23689.5,,,,,,,,,
iload gotoInsn ldc istore iload,,9,,,,,,45212.1,,,,,,,,,
iload gotoInsn newInsn dup aload,,3,,,,,,18030.9,,,,,,,,,
iload gotoInsn returnInsn aload dup,,1,,,,,,94250.2,,,,,,,,,
iload gotoInsn returnInsn aload instanceofInsn,,7,,,,,,13923.7,,,,,,,,,
iload i2b bastore iload iconst1,,,,1,,,,23402.7,,,,,,,,,
iload i2b iinc bastore astore,,1,,,,,,1.11E+06,,,,,,,,,
iload i2b iinc bastore gotoInsn,,2,,,,,,847905,,,,,,,,,
iload i2b iinc bastore iconst0,,1,,,,,,1.31E+06,,,,,,,,,
iload i2b iinc bastore iload,,8,,,,,,1.87E+06,,,,,,,,,
iload i2b iinc bastore lload,,1,,,,,,1.72E+06,,,,,,,,,
iload i2c iinc castore gotoInsn,,1,,,,,,1.04E+06,,,,,,,,,
iload i2l bipush lshl lload,,,,,9,,,9503.2,,,,,,,,,
iload i2l iconst0 i2l lcmp,,,,71,,,,2437.45,,,,,,,,,
iload i2l lload dup2X2 lxor,,,,,3,,,424504,,,,,,,,,
iload iadd dup istore aload,,1,,,,,,15561.6,,,,,,,,,
iload iadd dup istore istore,,,2,,,,,9310.23,,,,,,,,,
iload iadd i2l lload dup2X2,,,,,1,,,55230.3,,,,,,,,,
iload iadd iand putfield getfield,,2,,,,,,59357.6,,,,,,,,,
iload iadd iconst1 iadd i2l,,,,,1,,,5460.3,,,,,,,,,
iload iadd iconst3 lload bipush,,,,,1,,,177509,,,,,,,,,
iload iadd ifIcmpge iload dup,,,,,,,1,53698.8,,,,,,,,,
iload iadd iinc aaload iload,,1,,,,,,444027,,,,,,,,,
iload iadd iinc invokestatic ior,,1,,,,,,373180,,,,,,,,,
iload iadd invokespecial getfield astore,,1,,,,,,53701.2,,,,,,,,,
iload iadd invokespecial getfield iload,,2,,,,,,125383,,,,,,,,,
iload iadd invokespecial pop returnInsn,,3,,,,,,15552.7,,,,,,,,,
iload iadd invokespecial pop2 returnInsn,,2,,,,,,37617.5,,,,,,,,,
iload iadd invokevirtual aload iconst3,,1,,,,,,39750.2,,,,,,,,,
iload iadd invokevirtual lload bipush,,,,,1,,,63323,,,,,,,,,
iload iadd invokevirtual lload l2i,,,,,2,,,25790.2,,,,,,,,,
iload iadd istore aload gotoInsn,,1,,,,,,12652.2,,,,,,,,,
iload iadd istore invokeinterface iload,,1,,,,,,82663.9,,,,,,,,,
iload iadd istore lload dup2,,,,,1,,,35955.3,,,,,,,,,
iload iadd putfield iload iconst1,,,,1,,,,31972.6,,,,,,,,,
iload iaload dup istore ifne,,2,,,,,,9616.8,,,,,,,,,
iload iaload dup istore iload,,1,,,,,,65071.8,,,,,,,,,
iload iaload dup istore istore,,,2,,,,,14718.4,,,,,,,,,
iload iaload dup istore ldc,,4,,,,,,25445.1,,,,,,,,,
iload iaload i2l bipush lshl,,,,,3,,,12696.2,,,,,,,,,
iload iaload iadd dup istore,,2,,,,,,42830.9,,,,,,,,,
iload iaload iadd putfield getfield,,1,,,,,,164759,,,,,,,,,
iload iaload iand ifeq iload,,,,,,,1,34351.8,,,,,,,,,
iload iaload ifIcmpeq iload dup,,,,,,,1,88463,,,,,,,,,
iload iaload ifIcmpeq sipush dup,,1,,,,,,105435,,,,,,,,,
iload iaload ifIcmpge iload dup,,,,,,,2,42416.5,,,,,,,,,
iload iaload ifIcmpge iload iconst1,,,,1,,,,27628.8,,,,,,,,,
iload iaload iinc invokevirtual getfield,,1,,,,,,304575,,,,,,,,,
iload iaload iload ifIcmpne iload,,,,,,,1,16712.7,,,,,,,,,
iload iaload invokevirtual aload iload,,1,,,,,,20871.4,,,,,,,,,
iload iaload istore getfield aload,,2,,,,,,168401,,,,,,,,,
iload iaload istore getfield ifnull,,1,,,,,,150416,,,,,,,,,
iload iaload istore getfield iinc,,1,,,,,,390223,,,,,,,,,
iload iaload istore getfield iload,,4,,,,,,190165,,,,,,,,,
iload iaload istore iload iinc,,1,,,,,,29564.8,,,,,,,,,
iload iastore getfield iconst1 iload,,1,,,,,,377060,,,,,,,,,
iload iastore getfield iconst2 iload,,1,,,,,,356446,,,,,,,,,
iload iastore iconst1 ireturn lload,,,,,1,,,29322.5,,,,,,,,,
iload iastore iload iconst1 isub,,,,1,,,,14775.6,,,,,,,,,
iload iastore ireturn iconst0 ireturn,,1,,,,,,43171.9,,,,,,,,,
iload iastore ireturn iload ldc,,1,,,,,,180731,,,,,,,,,
iload iconst0 aconstNull dup invokevirtual,,2,,,,,,2.22E+06,,,,,,,,,
iload iconst0 aload aload dupX2,,1,,,,,,394732,,,,,,,,,
iload iconst0 bastore iinc iinc,,,1,,,,,13330.3,,,,,,,,,
iload iconst0 ifne ifne aload,,1,,,,,,185471,,,,,,,,,
iload iconst0 ifne newarray astore,,1,,,,,,338585,,,,,,,,,
iload iconst0 ifne sipush iand,,1,,,,,,110849,,,,,,,,,
iload iconst0 iinc bastore iload,,1,,,,,,3.94E+06,,,,,,,,,
iload iconst1 bastore iinc iload,,1,,,,,,15909.6,,,,,,,,,
iload iconst1 iadd aload lload,,,,,1,,,11303.6,,,,,,,,,
iload iconst1 iadd baload iinc,,1,,,,,,59170.8,,,,,,,,,
iload iconst1 iadd dup istore,,3,1,,,,,34048.2,,,,,,,,,
iload iconst1 iadd i2l bipush,,,,,1,,,12346.6,,,,,,,,,
iload iconst1 iadd i2l lload,,,,,1,,,11807.6,,,,,,,,,
iload iconst1 iadd iadd dup,,,1,,,,,35657.7,,,,,,,,,
iload iconst1 iadd iinc aload,,1,,,,,,11797,,,,,,,,,
iload iconst1 iadd iinc baload,,1,,,,,,10580.8,,,,,,,,,
iload iconst1 iadd invokevirtual dup,,1,,,,,,7667.4,,,,,,,,,
iload iconst1 iadd invokevirtual iinc,,3,,,,,,4231.64,,,,,,,,,
iload iconst1 iadd lload l2i,,,,,1,,,10527.5,,,,,,,,,
iload iconst1 iand ifeq iload,,,,,,,1,21988.9,,,,,,,,,
iload iconst1 ifIcmplt iload dup,,,,,,,3,48027.5,,,,,,,,,
iload iconst1 ifIcmpne iload dup,,,,,,,3,21905.5,,,,,,,,,
iload iconst1 ifIcmpne lload l2i,,,,,1,,,8934.2,,,,,,,,,
iload iconst1 iinc iadd iload,,1,,,,,,760278,,,,,,,,,
iload iconst1 iinc iadd invokevirtual,,1,,,,,,417603,,,,,,,,,
iload iconst1 invokevirtual getfield iload,,1,,,,,,113024,,,,,,,,,
iload iconst1 invokevirtual iinc iinc,,,2,,,,,13236.8,,,,,,,,,
iload iconst1 invokevirtual iload gotoInsn,,1,,,,,,20278,,,,,,,,,
iload iconst1 invokevirtual pop iload,,1,,,,,,20126.8,,,,,,,,,
iload iconst1 invokevirtual pop2 getfield,,1,,,,,,206241,,,,,,,,,
iload iconst1 isub dup istore,,1,,,,,,35497.1,,,,,,,,,
iload iconst1 isub invokespecial dup,,2,2,,,,,37968,,,,,,,,,
iload iconst1 isub invokespecial i2l,,,,,2,,,50741.4,,,,,,,,,
iload iconst1 isub lload l2i,,,,,2,,,19584.4,,,,,,,,,
iload iconst1 ixor invokevirtual aload,,2,,,,,,6372.7,,,,,,,,,
iload iconst2 iadd aload dupX1,,2,,,,,,125191,,,,,,,,,
iload iconst2 iadd dup istore,,1,,,,,,45145.4,,,,,,,,,
iload iconst2 iadd iinc aload,,1,,,,,,146117,,,,,,,,,
iload iconst2 iadd iinc baload,,1,,,,,,131053,,,,,,,,,
iload iconst2 iadd invokevirtual iinc,,3,,,,,,7834.29,,,,,,,,,
iload iconst2 iand ifeq iload,,,,,,,1,21303.7,,,,,,,,,
iload iconst2 ifIcmpge iload dup,,,,,,,1,30550.1,,,,,,,,,
iload iconst2 iinc iadd iload,,1,,,,,,565515,,,,,,,,,
iload iconst2 iinc iadd invokevirtual,,3,,,,,,310624,,,,,,,,,
iload iconst2 irem istore iload,,,,71,,,,23060.2,,,,,,,,,
iload iconst2 ishl lload bipush,,,,,1,,,48449,,,,,,,,,
iload iconst3 iadd baload iinc,,1,,,,,,78753.2,,,,,,,,,
iload iconst3 iand iadd dup,,1,,,,,,49030.6,,,,,,,,,
iload iconst3 iand invokeinterface lload,,,,,1,,,56579.3,,,,,,,,,
iload iconst3 iand isub i2l,,,,,6,,,32914.3,,,,,,,,,
iload iconst3 ifIcmpge iinc iinc,,,1,,,,,10359.4,,,,,,,,,
iload iconst3 ifIcmpge iload dup,,,,,,,1,19150.4,,,,,,,,,
iload iconst3 ifIcmpne iconst2 dup,,,1,,,,,75810.9,,,,,,,,,
iload iconst3 ifIcmpne iload dup,,,,,,,2,28534.6,,,,,,,,,
iload iconst4 iadd invokevirtual iinc,,1,,,,,,9285.78,,,,,,,,,
iload iconst4 iand ifne lload,,,,,2,,,23992.2,,,,,,,,,
iload iconst4 ifIcmpge iload dup,,,,,,,1,18968.5,,,,,,,,,
iload iconst4 iinc iadd invokevirtual,,4,,,,,,317148,,,,,,,,,
iload iconstM1 aconstNull dupX1 invokevirtual,,1,,,,,,416790,,,,,,,,,
iload iconstM1 ifIcmpeq iload dup,,,,,,,1,14870.1,,,,,,,,,
iload iconstM1 ifIcmpne iconst0 aload,,1,,,,,,29786.4,,,,,,,,,
iload iconstM1 ifIcmpne iload dup,,,,,,,3,7786.13,,,,,,,,,
iload ifeq aload aload dup,,1,,,,,,45177.4,,,,,,,,,
iload ifeq aload iload baload,,1,,,,,,7034.67,,,,,,,,,
iload ifeq aload invokeinterface dup,,1,,,,,,51015.5,,,,,,,,,
iload ifeq iload aload dupX1,,1,,,,,,199184,,,,,,,,,
iload ifeq iload dup dup,,,,,,,10,144630,,,,,,,,,
iload ifeq iload dup iconst1,,,,,,,10,40592,,,,,,,,,
iload ifeq iload dup imul,,,,,,,13,240135,,,,,,,,,
iload ifeq iload ifle iload,,1,,,,,,14314.7,,,,,,,,,
iload ifeq ldc invokestatic aload,,1,,,,,,11608.7,,,,,,,,,
iload ifeq ldc invokestatic gotoInsn,,2,,,,,,8337.26,,,,,,,,,
iload ifeq lload bipush lshr,,,,,1,,,4990.95,,,,,,,,,
iload ifge iload dup dup,,,,,,,1,99801.6,,,,,,,,,
iload ifge iload dup imul,,,,,,,1,165705,,,,,,,,,
iload ifIcmpeq iconst1 aload iload,,1,,,,,,54969.6,,,,,,,,,
iload ifIcmpeq iload dup imul,,,,,,,1,588648,,,,,,,,,
iload ifIcmpge aload aload getfield,,1,,,,,,8010.84,,,,,,,,,
iload ifIcmpge aload aload lload,,,,,3,,,44452.1,,,,,,,,,
iload ifIcmpge aload dup getfield,,2,,,,,,12258.4,,,,,,,,,
iload ifIcmpge aload getfield lload,,,,,5,,,8723.84,,,,,,,,,
iload ifIcmpge aload iload baload,,1,,,,,,5315.63,,,,,,,,,
iload ifIcmpge aload lload bipush,,,,,6,,,29184.1,,,,,,,,,
iload ifIcmpge bipush lload l2i,,,,,1,,,91807.9,,,,,,,,,
iload ifIcmpge iload dup dup,,,,,,,11,138941,,,,,,,,,
iload ifIcmpge iload dup iconst1,,,,,,,7,45672.3,,,,,,,,,
iload ifIcmpge iload dup imul,,,,,,,14,230689,,,,,,,,,
iload ifIcmpge iload iconst1 isub,,,,1,,,,14710.2,,,,,,,,,
iload ifIcmpge lload bipush lshr,,,,,2,,,11405.3,,,,,,,,,
iload ifIcmpgt iload dup dup,,,,,,,2,102214,,,,,,,,,
iload ifIcmpgt lload l2i aload,,,,,2,,,126765,,,,,,,,,
iload ifIcmple iload dup dup,,,,,,,1,103372,,,,,,,,,
iload ifIcmple iload dup iconst1,,,,,,,1,51453.5,,,,,,,,,
iload ifIcmple iload dup imul,,,,,,,1,171633,,,,,,,,,
iload ifIcmple iload dup istore,,,1,,,,,18981.4,,,,,,,,,
iload ifIcmple iload istore iload,,1,,,,,,15689.9,,,,,,,,,
iload ifIcmple lload l2i istore,,,,,1,,,42474.8,,,,,,,,,
iload ifIcmplt aload dup dupX1,,2,,,,,,172385,,,,,,,,,
iload ifIcmplt iload dup iconst1,,,,,,,1,25803.2,,,,,,,,,
iload ifIcmpne iload dup dup,,,,,,,1,105716,,,,,,,,,
iload ifIcmpne iload dup iconst1,,,,,,,1,31373.4,,,,,,,,,
iload ifIcmpne iload dup imul,,,,,,,1,175525,,,,,,,,,
iload ifle aload aload lload,,,,,4,,,48904.5,,,,,,,,,
iload ifle aload dup dup2,,1,,,,,,220109,,,,,,,,,
iload ifle aload dup dupX1,,2,,,,,,172380,,,,,,,,,
iload ifle aload dup iload,,1,,,,,,98526.9,,,,,,,,,
iload ifle aload lload bipush,,,,,6,,,37044.1,,,,,,,,,
iload ifle bipush aload iload,,2,,,,,,48037.7,,,,,,,,,
iload ifle iconst0 dup istore,,1,,,,,,48749.9,,,,,,,,,
iload ifle iconst0 i2l lload,,,,,1,,,137351,,,,,,,,,
iload ifle iconst3 dup istore,,,1,,,,,145146,,,,,,,,,
iload ifle iinc aload dup,,1,,,,,,26666.1,,,,,,,,,
iload ifle iload aload dupX1,,2,,,,,,231992,,,,,,,,,
iload ifle iload aload lload,,,,,1,,,140655,,,,,,,,,
iload ifle iload dup dup,,,,,,,8,117021,,,,,,,,,
iload ifle iload dup iconst1,,,,,,,11,27865.3,,,,,,,,,
iload ifle iload dup imul,,,,,,,15,194294,,,,,,,,,
iload ifle iload iconst2 iadd,,1,,,,,,13910.1,,,,,,,,,
iload iflt aload aload iload,,2,,,,,,38077,,,,,,,,,
iload iflt iload dup dup,,,,,,,5,855912,,,,,,,,,
iload iflt iload dup iconst1,,,,,,,2,426029,,,,,,,,,
iload iflt iload dup imul,,,,,,,3,1.42E+06,,,,,,,,,
iload ifne aconstNull astore aload,,1,,,,,,10999.9,,,,,,,,,
iload ifne aload aload invokestatic,,2,,,,,,6617.46,,,,,,,,,
iload ifne aload getfield lload,,,,,1,,,7585.74,,,,,,,,,
iload ifne aload invokestatic dup,,,2,,,,,33091.4,,,,,,,,,
iload ifne aload lload bipush,,,,,1,,,27050.1,,,,,,,,,
iload ifne aload lload l2i,,,,,1,,,18246.7,,,,,,,,,
iload ifne iconst1 aload iload,,1,,,,,,166071,,,,,,,,,
iload ifne iload dup dup,,,,,,,10,79186,,,,,,,,,
iload ifne iload dup iconst1,,,,,,,6,34212.5,,,,,,,,,
iload ifne iload dup imul,,,,,,,6,131476,,,,,,,,,
iload ifne iload i2l bipush,,,,,1,,,26442.6,,,,,,,,,
iload ifne iload istore iload,,1,,,,,,18356.4,,,,,,,,,
iload ifne lload bipush lshr,,,,,2,,,5321.46,,,,,,,,,
iload iinc aaload aload invokespecial,,1,,,,,,13881,,,,,,,,,
iload iinc aaload invokespecial iload,,4,,,,,,33120.6,,,,,,,,,
iload iinc aaload invokestatic iload,,3,,,,,,22416.3,,,,,,,,,
iload iinc aload iload lload,,,,,1,,,47372.2,,,,,,,,,
iload iinc aload invokevirtual invokeinterface,,1,,,,,,8019.61,,,,,,,,,
iload iinc baload i2l bipush,,,,,1,,,6605.92,,,,,,,,,
iload iinc bipush invokevirtual pop,,1,,,,,,9786.35,,,,,,,,,
iload iinc dupX1 invokevirtual iload,,2,,,,,,390896,,,,,,,,,
iload iinc gotoInsn aload iinc,,1,,,,,,18397.9,,,,,,,,,
iload iinc gotoInsn iconst1 ireturn,,1,,,,,,36199.8,,,,,,,,,
iload iinc gotoInsn iinc iload,,1,,,,,,115339,,,,,,,,,
iload iinc gotoInsn iload iload,,1,,,,,,139246,,,,,,,,,
iload iinc iadd istore iload,,2,,,,,,50250.2,,,,,,,,,
iload iinc iaload aload iload,,1,,,,,,43708.5,,,,,,,,,
iload iinc iaload i2l bipush,,,,,1,,,11909.2,,,,,,,,,
iload iinc iaload invokevirtual pop,,2,,,,,,9509.16,,,,,,,,,
iload iinc iastore iload ldc,,1,,,,,,46665.2,,,,,,,,,
iload iinc iconst2 invokevirtual pop,,1,,,,,,85907.9,,,,,,,,,
iload iinc iconst3 invokevirtual pop,,1,,,,,,72305.8,,,,,,,,,
iload iinc iconst4 invokevirtual pop,,2,,,,,,6368.21,,,,,,,,,
iload iinc iconst5 invokevirtual pop,,1,,,,,,11186.1,,,,,,,,,
iload iinc ifle iload dup,,,,,,,1,36507.1,,,,,,,,,
iload iinc iflt iload iload,,1,,,,,,56232,,,,,,,,,
iload iinc iinc caload bipush,,,1,,,,,284785,,,,,,,,,
iload iinc iinc caload istore,,,1,,,,,112614,,,,,,,,,
iload iinc iinc iaload istore,,,2,,,,,201705,,,,,,,,,
iload iinc iinc iload bipush,,,2,,,,,105600,,,,,,,,,
iload iinc iinc iload i2b,,,4,,,,,69834.3,,,,,,,,,
iload iinc iinc iload i2c,,,1,,,,,55607.1,,,,,,,,,
iload iinc iinc iload invokevirtual,,1,,,,,,16011.1,,,,,,,,,
iload iinc iinc invokevirtual bipush,,,1,,,,,227157,,,,,,,,,
iload iinc iinc invokevirtual istore,,,1,,,,,169761,,,,,,,,,
iload iinc iinc sipush iload,,,5,,,,,219271,,,,,,,,,
iload iinc invokestatic iadd istore,,4,,,,,,9958.98,,,,,,,,,
iload iinc invokestatic invokestatic invokestatic,,1,,,,,,95361.8,,,,,,,,,
iload iinc invokestatic invokevirtual iload,,1,,,,,,51979.2,,,,,,,,,
iload iinc invokestatic ior istore,,3,,,,,,132317,,,,,,,,,
iload iinc invokevirtual anewarray astore,,1,,,,,,75607.2,,,,,,,,,
iload iinc invokevirtual dup i2l,,,,,2,,,150163,,,,,,,,,
iload iinc invokevirtual invokestatic invokevirtual,,1,,,,,,10591.1,,,,,,,,,
iload iinc ldc iload iconst1,,,,1,,,,168157,,,,,,,,,
iload iinc tableswitch iload iconst0,,1,,,,,,46843.7,,,,,,,,,
iload iload aconstNull dup invokevirtual,,1,,,,,,2.04E+06,,,,,,,,,
iload iload aload aload iinc,,3,,,,,,41139.3,,,,,,,,,
iload iload bipush iadd iinc,,1,,,,,,130743,,,,,,,,,
iload iload bipush ishl iinc,,1,,,,,,443875,,,,,,,,,
iload iload bipush iushr iinc,,16,,,,,,319876,,,,,,,,,
iload iload dupX2 iconst1 iadd,,1,,,,,,29431.5,,,,,,,,,
iload iload i2b bastore iload,,,,1,,,,13600.8,,,,,,,,,
iload iload i2b iinc bastore,,13,,,,,,837407,,,,,,,,,
iload iload i2c iinc castore,,1,,,,,,911367,,,,,,,,,
iload iload iadd dup istore,,1,1,,,,,29781.5,,,,,,,,,
iload iload iadd ifIcmpge iload,,,,,,,1,17276.7,,,,,,,,,
iload iload iadd iinc aaload,,1,,,,,,153533,,,,,,,,,
iload iload iadd iinc invokestatic,,1,,,,,,150047,,,,,,,,,
iload iload iadd istore invokeinterface,,1,,,,,,34420.4,,,,,,,,,
iload iload iadd istore lload,,,,,1,,,13825.2,,,,,,,,,
iload iload iastore iload iconst1,,,,1,,,,25570,,,,,,,,,
iload iload iastore ireturn iconst0,,1,,,,,,441344,,,,,,,,,
iload iload iastore ireturn iload,,1,,,,,,275352,,,,,,,,,
iload iload iconst1 isub istore,,,,1,,,,17100.3,,,,,,,,,
iload iload iconst2 iadd aload,,2,,,,,,14790.8,,,,,,,,,
iload iload iconstM1 aconstNull dupX1,,1,,,,,,91140,,,,,,,,,
iload iload ifIcmpeq iconst1 aload,,1,,,,,,27821.6,,,,,,,,,
iload iload ifIcmpeq iload dup,,,,,,,1,38050.5,,,,,,,,,
iload iload ifIcmpge iload dup,,,,,,,31,13296.1,,,,,,,,,
iload iload ifIcmpge iload iconst1,,,,1,,,,16914.9,,,,,,,,,
iload iload ifIcmple iload dup,,,1,,,,3,8819.83,,,,,,,,,
iload iload ifIcmplt iload dup,,,,,,,1,8300.43,,,,,,,,,
iload iload ifIcmpne iload dup,,,,,,,1,7790.12,,,,,,,,,
iload iload iinc iadd istore,,2,,,,,,14353.2,,,,,,,,,
iload iload iinc iastore iload,,1,,,,,,9362.4,,,,,,,,,
iload iload imul istore iload,,,,71,,,,15095.8,,,,,,,,,
iload iload invokespecial dup istore,,1,,,,,,21115.5,,,,,,,,,
iload iload invokespecial iconst0 i2l,,,,,2,,,101126,,,,,,,,,
iload iload invokespecial iload iconst1,,1,,,,,,30715.7,,,,,,,,,
iload iload invokestatic dup istore,,3,,,,,,20410,,,,,,,,,
iload iload invokestatic i2l lload,,,,,4,,,20549.8,,,,,,,,,
iload iload invokestatic iinc dup,,2,,,,,,80420,,,,,,,,,
iload iload invokevirtual invokeinterface iconst1,,1,,,,,,30455.4,,,,,,,,,
iload iload isub aaload dup,,1,,,,,,23386.8,,,,,,,,,
iload iload isub dup istore,,2,,,,,,16618.4,,,,,,,,,
iload iload isub i2l lload,,,,,2,,,11686.1,,,,,,,,,
iload imul invokestatic newarray dup,,1,,,,,,43221,,,,,,,,,
iload imul istore iload iconst2,,,,71,,,,29958,,,,,,,,,
iload invokeinterface aload ifnull iload,,,,,,,1,30736.5,,,,,,,,,
iload invokeinterface gotoInsn iload bipush,,1,,,,,,28343.9,,,,,,,,,
iload invokeinterface iinc iload gotoInsn,,1,,,,,,25143.5,,,,,,,,,
iload invokeinterface iload ireturn gotoInsn,,1,,,,,,16138.1,,,,,,,,,
iload invokeinterface lload bipush i2l,,,,,1,,,93890.1,,,,,,,,,
iload invokespecial aload ifnull iload,,,,,,,1,14714.6,,,,,,,,,
iload invokespecial aload invokevirtual putfield,,1,,,,,,16392,,,,,,,,,
iload invokespecial aload lload l2i,,,,,3,,,20509.8,,,,,,,,,
iload invokespecial dup astore ldc,,1,,,,,,51070.7,,,,,,,,,
iload invokespecial dup istore iload,,1,,,,,,68861.7,,,,,,,,,
iload invokespecial getfield invokespecial returnInsn,,1,,,,,,34614.2,,,,,,,,,
iload invokespecial iconst0 i2l bipush,,,,,2,,,726071,,,,,,,,,
iload invokespecial iload iconst1 iadd,,1,,,,,,10408.2,,,,,,,,,
iload invokespecial iload invokespecial iload,,11,,,,,,15718.6,,,,,,,,,
iload invokespecial iload invokespecial returnInsn,,6,,,,,,8489.07,,,,,,,,,
iload invokespecial invokespecial returnInsn aload,,1,,,,,,31237.6,,,,,,,,,
iload invokespecial returnInsn aload dup,,6,,,,,,28642.8,,,,,,,,,
iload invokespecial returnInsn aload ldc,,1,,,,,,24215.6,,,,,,,,,
iload invokestatic aastore aload iload,,1,,,,,,30084.8,,,,,,,,,
iload invokestatic aload dup dup,,1,,,,,,293300,,,,,,,,,
iload invokestatic aload putfield aload,,2,,,,,,68232.1,,,,,,,,,
iload invokestatic astore aload areturn,,1,,,,,,4880.9,,,,,,,,,
iload invokestatic dup istore iconst3,,2,,,,,,69044.6,,,,,,,,,
iload invokestatic dup istore invokevirtual,,2,,,,,,15729,,,,,,,,,
iload invokestatic dup istore sipush,,1,,,,,,85590.1,,,,,,,,,
iload invokestatic i2l lload dup2X2,,,,,8,,,55023.7,,,,,,,,,
iload invokestatic iinc dup istore,,2,,,,,,168641,,,,,,,,,
iload invokestatic iload aload dupX2,,1,,,,,,54526.7,,,,,,,,,
iload invokestatic iload gotoInsn iinc,,1,,,,,,176358,,,,,,,,,
iload invokestatic iload iload i2b,,1,,,,,,39361.2,,,,,,,,,
iload invokestatic iload isub iinc,,1,,,,,,68634,,,,,,,,,
iload invokestatic istore aload iconst0,,1,,,,,,24293.3,,,,,,,,,
iload invokestatic istore iload iload,,1,,,,,,32038.5,,,,,,,,,
iload invokestatic istore iload invokevirtual,,3,,,,,,30420.9,,,,,,,,,
iload invokestatic lload l2i isub,,,,,1,,,14473.8,,,,,,,,,
iload invokestatic putfield aload getfield,,1,,,,,,6927.28,,,,,,,,,
